CapRate_ClassA_Stab_High,CapRate_ClassA_Stab_Low,CapRate_ClassA_Stab_Range,CapRate_ClassA_VA_High,CapRate_ClassA_VA_Low,CapRate_ClassA_VA_Range,CapRate_ClassB_Stab_High,CapRate_ClassB_Stab_Low,CapRate_ClassB_Stab_Range,CapRate_ClassB_VA_High,CapRate_ClassB_VA_Low,CapRate_ClassC_Stab_High,CapRate_ClassC_Stab_Low,CapRate_ClassC_Stab_Range,CapRate_Data_Source,CapRate_Notes,CapRate_Overall_Market,CapRate_Source_Verified,CapRate_Trend,Investor_Demand,MSA,Market_Tier,Typical_Price_Per_Unit_ClassB_USD,Typical_Price_Per_Unit_USD
5.25,4.5,4.25% - 4.50%,5.0,4.75,4.75% - 5.25%,5.5,5.0,5.00% - 5.50%,6.0,5.5,,,,CBRE,Gateway market with strong fundamentals and very high investor demand.,4.5,CBRE H2 2025 Survey (Verified),Stable,Very High,"San Diego, CA",Primary,,400000
5.0,4.5,4.25% - 4.50%,5.0,4.75,4.75% - 5.25%,5.5,5.0,5.00% - 5.50%,6.0,5.5,,,,CBRE,Top coastal market with tight cap rates and very strong investor competition.,4.4,CBRE H2 2025 Survey (Verified),Stable,Very High,"San Francisco, CA",Primary,,600000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,7.5,7.0,7.00% - 7.50%,CBRE H2 2025,Coastal secondary market with steady demand and stable cap rates.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Secondary,220000.0,300000
4.75,4.5,4.50% - 4.75%,5.5,5.0,5.00% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,Marcus & Millichap,Premium coastal market with steady demand and limited inventory.,4.85,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Santa Barbara, CA",Secondary,,550000
4.75,4.5,4.50% - 4.75%,5.5,5.0,5.00% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,JLL,Strong lifestyle market with consistent investor interest and stable cap rates.,4.9,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Santa Cruz, CA",Secondary,,520000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,Marcus & Millichap,Smaller tertiary market with moderate investor interest and stable cap rates reflecting limited new supply.,6.85,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Santa Fe, NM",Secondary,,210000
5.25,4.75,4.75% - 5.25%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,7.5,7.0,7.00% - 7.50%,JLL H2 2025,Strong coastal secondary market with high investor demand and stable cap rates.,5.25,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Santa Rosa, CA",Secondary,250000.0,350000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE H2 2025,Strong Sun Belt secondary market with rising cap rates due to inflationary pressures and rising interest rates.,5.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,High,"Sarasota, FL",Secondary,,230000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,JLL Capital Markets,Growing secondary market with steady investor interest and balanced supply-demand fundamentals.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Savannah, GA",Secondary,,180000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE H2 2025,Sun Belt primary market with strong investor demand but cap rates expanding due to rising interest rates.,5.4,AI Research (CBRE/M&M/JLL calibrated),Expanding,High,"Scottsdale, AZ",Tertiary,,270000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,CoStar,Tertiary market with limited investor interest and stable but elevated cap rates.,6.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Scranton, PA",Secondary,,90000
5.25,4.75,4.50% - 5.00%,5.5,5.0,5.00% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,CBRE H2 2025,Gateway market with very strong investor demand but cap rates expanding slightly due to macroeconomic factors.,4.85,CBRE H2 2025 Survey (Verified),Expanding,Very High,"Seattle, WA",Primary,,400000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.5,8.0,8.00% - 8.50%,9.0,8.5,,,,Marcus & Millichap,Tertiary market with low investor demand and high cap rates reflecting economic challenges.,7.4,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Shreveport, LA",Secondary,,65000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,Marcus & Millichap,Limited investor interest due to small market size and modest growth prospects.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Sierra Vista, AZ",Tertiary,65000.0,85000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,CoStar,Stable cap rates with modest investor interest driven by steady local economy.,7.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Sioux City, IA",Tertiary,70000.0,90000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,JLL Capital Markets,Mid-secondary market with steady investor interest and stable cap rates.,6.2,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Sioux Falls, SD",Secondary,,140000
6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,CoStar,Tertiary market with limited investor demand and elevated cap rates.,6.7,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"South Bend, IN",Secondary,,85000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,Marcus & Millichap,Growing secondary market with balanced fundamentals and stable cap rates.,6.1,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Spokane, WA",Secondary,,150000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.5,8.0,,,,CoStar,Tertiary market with weak investor demand and high cap rates reflecting economic headwinds.,7.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Springfield, IL",Tertiary,,80000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,JLL Capital Markets,Secondary New England market with steady investor interest and stable cap rates.,6.2,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Springfield, MA",Secondary,,130000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.25,7.5,,,,Marcus & Millichap,Tertiary market with moderate investor interest and stable cap rates reflecting modest growth prospects.,6.85,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Springfield, MO",Secondary,,95000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,Marcus & Millichap,Market remains challenged with limited new investment and stable cap rates.,7.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Springfield, OH",Tertiary,65000.0,85000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CBRE,Mid-secondary market with steady demand and cap rates reflecting balanced risk-return profiles.,6.3,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"St. Cloud, MN",Tertiary,,110000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Sun Belt secondary market experiencing cap rate expansion due to rising interest rates and supply growth.,5.65,AI Research (CBRE/M&M/JLL calibrated),Expanding,High,"St. George, UT",Secondary,,165000
6.5,6.0,5.50% - 6.00%,6.5,6.5,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,CoStar,Strong secondary market with stable cap rates supported by steady rental growth and moderate investor interest.,6.0,CBRE H2 2025 Survey (Verified),Stable,Moderate,"St. Louis, MO",Primary,,120000
5.25,4.75,4.75% - 5.25%,5.75,5.25,5.25% - 5.75%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,CBRE,Gateway-adjacent market with strong investor demand and relatively tight cap rates despite recent rate pressures.,5.1,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Stamford, CT",Secondary,,280000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Sun Belt secondary market with cap rate expansion driven by affordability concerns and rising borrowing costs.,5.7,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Stockton, CA",Secondary,,180000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,JLL,Mid-secondary market with stable cap rates reflecting steady but modest economic growth.,6.2,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Syracuse, NY",Secondary,,90000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CoStar,Gateway-adjacent market with rising cap rates due to recent rate hikes but strong investor appetite remains.,5.45,AI Research (CBRE/M&M/JLL calibrated),Expanding,High,"Tacoma, WA",Secondary,,210000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,Marcus & Millichap,Secondary Sun Belt market with stable cap rates supported by university-driven rental demand.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Tallahassee, FL",Secondary,,115000
5.25,4.75,4.75% - 5.25%,5.5,5.0,5.25% - 5.75%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,CBRE,Primary Sun Belt market with strong investor demand but cap rates expanding due to rising interest rates.,5.1,CBRE H2 2025 Survey (Verified),Expanding,Very High,"Tampa, FL",Primary,,230000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,Marcus & Millichap,Tertiary market with limited investor interest and higher cap rates reflecting elevated risk.,7.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Terre Haute, IN",Tertiary,,70000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,CoStar,Very limited investor demand due to small market and economic constraints.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Very Low,"Texarkana, TX",Tertiary,60000.0,80000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,JLL,Mid-secondary market with stable cap rates and moderate investor demand amid steady economic fundamentals.,6.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Toledo, OH",Secondary,,85000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Smaller tertiary market with limited investor interest and higher risk premiums.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Topeka, KS",Tertiary,,65000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Proximity to NYC supports moderate demand but cap rates remain elevated due to market risk.,5.9,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Trenton, NJ",Secondary,,95000
5.5,5.25,5.25% - 5.75%,6.0,5.5,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Sun Belt secondary market with steady investor interest and moderate cap rate expansion.,5.75,CBRE H2 2025 Survey (Verified),Stable,Moderate,"Tucson, AZ",Primary,,110000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CoStar,Mid-secondary market with cap rate expansion driven by economic uncertainty and lower investor demand.,6.4,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Tulsa, OK",Secondary,,70000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.25,6.75,7.75,7.25,7.25% - 7.75%,JLL,University-driven demand supports steady investor interest and stable cap rates.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Tuscaloosa, AL",Secondary,85000.0,110000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,Marcus & Millichap,Small market with stable fundamentals but limited investor competition.,7.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Twin Falls, ID",Tertiary,70000.0,90000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Tertiary Texas market with elevated cap rates reflecting higher risk and limited capital flow.,6.8,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Tyler, TX",Secondary,,60000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,CoStar,Economic headwinds driving cap rate expansion and very low investor demand.,7.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Very Low,"Utica, NY",Tertiary,55000.0,75000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.0,5.5,5.50% - 6.00%,6.5,6.0,7.0,6.5,6.50% - 7.00%,CBRE,Proximity to Bay Area supports moderate investor demand and stable cap rates.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Vallejo, CA",Secondary,180000.0,250000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Coastal secondary market with steady demand and moderate cap rates supported by military and tourism sectors.,5.7,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Virginia Beach, VA",Tertiary,,120000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,CoStar,Tertiary California market with high cap rates due to affordability challenges and limited investor competition.,7.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Visalia, CA",Secondary,,65000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,Marcus & Millichap,Mid-secondary Texas market with balanced cap rates and steady investor interest driven by university presence.,6.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Waco, TX",Secondary,,85000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,7.5,7.0,7.00% - 7.50%,JLL,Stable market with steady demand driven by regional employment and coastal proximity.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Warwick, RI",Secondary,100000.0,140000
5.5,4.75,4.75% - 5.50%,5.5,4.75,4.75% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,CBRE,Gateway market with strong investor demand and tight cap rates supported by government and tech sectors.,5.1,CBRE H2 2025 Survey (Verified),Stable,Very High,"Washington, DC",Primary,,250000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,Marcus & Millichap,Limited investor interest with stable but elevated cap rates due to economic challenges.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Very Low,"Waterloo, IA",Tertiary,50000.0,70000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,CoStar,Small market with limited growth prospects and low investor demand.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Very Low,"Wichita Falls, TX",Tertiary,55000.0,75000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,CoStar,Mid-secondary market with cap rate expansion due to economic headwinds and limited investor activity.,6.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Wichita, KS",Secondary,,70000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Secondary East Coast market with moderate investor demand and stable cap rates supported by finance sector.,5.9,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Wilmington, DE",Secondary,,90000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,Marcus & Millichap,Growing coastal market with steady demand and moderate cap rates driven by retirement and tourism.,6.1,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Wilmington, NC",Secondary,,95000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,Marcus & Millichap 2025,Market shows steady demand with cap rates reflecting tertiary market risk profile.,6.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Winston-Salem, NC",Secondary,,95000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE H2 2025,Proximity to Boston supports strong investor interest and relatively tight cap rates for a secondary market.,5.5,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Worcester, MA",Secondary,,140000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,Marcus & Millichap,Stable fundamentals with modest investor interest in a smaller agricultural market.,7.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Yakima, WA",Tertiary,65000.0,85000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,Marcus & Millichap H2 2025,Yolo remains a tertiary market with moderate investor interest and stable cap rates reflecting limited liquidity and moderate growth prospects.,7.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Yolo, CA",Tertiary,160000.0,210000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,CoStar Q1 2026,Limited investor activity and economic headwinds are driving cap rates higher in this tertiary market.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"York, PA",Tertiary,,65000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.5,8.0,8.00% - 8.50%,9.0,8.5,,,,JLL Capital Markets 2025,Weak market fundamentals and low investor interest are causing cap rates to expand significantly.,7.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Very Low,"Youngstown, OH",Secondary,,45000
7.0,6.5,6.50% - 7.00%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,CoStar Q1 2026,Yuma's tertiary status and limited investor demand keep cap rates elevated and stable amid modest market fundamentals.,7.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Yuma, AZ",Tertiary,130000.0,180000
